epoch 000000 mean_g 2.967908  mean_L1 0.108149
epoch 000001 mean_g 3.266842  mean_L1 0.051658
epoch 000002 mean_g 4.517362  mean_L1 0.051377
epoch 000003 mean_g 5.251745  mean_L1 0.052010
epoch 000004 mean_g 5.940610  mean_L1 0.051883
epoch 000005 mean_g 5.884599  mean_L1 0.051452
epoch 000006 mean_g 6.143447  mean_L1 0.051243
epoch 000007 mean_g 6.867158  mean_L1 0.051816
epoch 000008 mean_g 6.861404  mean_L1 0.051260
epoch 000009 mean_g 7.735137  mean_L1 0.052451
epoch 000010 mean_g 7.787925  mean_L1 0.052075
epoch 000011 mean_g 7.946738  mean_L1 0.052060
epoch 000012 mean_g 8.065689  mean_L1 0.051841
epoch 000013 mean_g 8.221401  mean_L1 0.051885
epoch 000014 mean_g 8.351454  mean_L1 0.051277
epoch 000015 mean_g 8.793705  mean_L1 0.051932
epoch 000016 mean_g 8.706931  mean_L1 0.051980
epoch 000017 mean_g 9.026030  mean_L1 0.051539
epoch 000018 mean_g 9.155953  mean_L1 0.051768
epoch 000019 mean_g 9.321525  mean_L1 0.051596
epoch 000020 mean_g 9.033235  mean_L1 0.051617
epoch 000021 mean_g 9.534074  mean_L1 0.052491
epoch 000022 mean_g 9.746623  mean_L1 0.052515
epoch 000023 mean_g 10.169784  mean_L1 0.051717
epoch 000024 mean_g 10.177576  mean_L1 0.051264
